title,author,year
The Separation,Christopher Priest,2003
Schild's Ladder,Greg Egan,2003
The Mount,Carol Emshwiller,2003
Probability Space,Nancy Kress,2003
Guardian,Joe Haldeman,2003
Engine City,Ken MacLeod,2003
Ruled Britannia,Harry Turtledove,2003
Evolution,Stephen Baxter,2003
Vitals,Greg Bear,2003
Lion's Blood,Steven Barnes,2003
The Impossible Bird,Patrick O'Leary,2003
The Sky So Big and Black,John Barnes,2003
The Visitor,Sheri S. Tepper,2003
Light Music,Kathleen Ann Goonan,2003
Diplomatic Immunity,Lois McMaster Bujold,2003
Permanence,Karl Schroeder,2003
The Praxis,Walter Jon Williams,2003
Spaceland,Rudy Rucker,2003
The Omega Expedition,Brian Stableford,2003
The Scar,China Mi�ville,2003
Night Watch,Terry Pratchett,2003
A Winter Haunting,Dan Simmons,2003
White Apples,Jonathan Carroll,2003
Kushiel's Chosen,Jacqueline Carey,2003
Lost in a Good Book,Jasper Fforde,2003
Ombria in Shadow,Patricia A. McKillip,2003
The Portrait of Mrs. Charbuque,Jeffrey Ford,2003
The Fall of the Kings,Ellen Kushner&Delia Sherman,2003
A Fistful of Sky,Nina Kiriki Hoffman,2003
The Alchemist's Door,Lisa Goldstein,2003
Voyage of the Shadowmoon,Sean McMullen,2003
The Facts of Life,Graham Joyce,2003
The Iron Grail,Robert Holdstock,2003
The Isle of Battle,Sean Russell,2003
A Bed of Earth,Tanith Lee,2003
The Lady of the Sorrows,Cecilia Dart-Thornton,2003
Castles Made of Sand,Gwyneth Jones,2003
Ilium,Dan Simmons,2004
Pattern Recognition,William Gibson,2004
Quicksilver,Neal Stephenson,2004
Darwin's Children,Greg Bear,2004
The Speed of Dark,Elizabeth Moon,2004
Absolution Gap,Alastair Reynolds,2004
Singularity Sky,Charles Stross,2004
Omega,Jack McDevitt,2004
Coalescent,Stephen Baxter,2004
Blind Lake,Robert Charles Wilson,2004
The Golden Age: The Phoenix Exultant; The Golden Transcendence,John C. Wright,2004
Nothing Human,Nancy Kress,2004
Natural History,Justina Robson,2004
Succession: The Risen Empire; The Killing of Worlds,Scott Westerfeld,2004
The Poison Master,Liz Williams,2004
Sister Alice,Robert Reed,2004
Felaheen: The Third Arabesk,Jon Courtenay Grimwood,2004
Memory,Linda Nagata,2004
The Lost Steersman,Rosemary Kirstein,2004
The Line of Polity,Neal Asher,2004
Paladin of Souls,Lois McMaster Bujold,2004
Monstrous Regiment,Terry Pratchett,2004
The Light Ages,Ian R. MacLeod,2004
The Dark Tower V: Wolves of the Calla,Stephen King,2004
1610: A Sundial in a Grave,Mary Gentle,2004
The War of the Flowers,Tad Williams,2004
The Briar King,Greg Keyes,2004
lost boy lost girl,Peter Straub,2004
Fool's Fate,Robin Hobb,2004
The Salt Roads,Nalo Hopkinson,2004
The Crystal City,Orson Scott Card,2004
The Skrayling Tree,Michael Moorcock,2004
The Anvil of the World,Kage Baker,2004
In the Forests of Serre,Patricia A. McKillip,2004
Sunshine,Robin McKinley,2004
Midnight Lamp,Gwyneth Jones,2004
Mortal Suns,Tanith Lee,2004
The Night Country,Stewart O'Nan,2004
 The Confusion; The System of the World,Neal Stephenson,2005
Iron Sunrise,Charles Stross,2005
Eastern Standard Tribe,Cory Doctorow,2005
Forty Signs of Rain,Kim Stanley Robinson,2005
The Algebraist,Iain M. Banks,2005
Camouflage,Joe Haldeman,2005
Newton's Wake,Ken MacLeod,2005
The Life of the World to Come,Kage Baker,2005
River of Gods,Ian McDonald,2005
Cloud Atlas,David Mitchell,2005
The Plot Against America,Philip Roth,2005
For Us, the Living,2005
Crucible,Nancy Kress,2005
Air,Geoff Ryman,2005
Century Rain,Alastair Reynolds,2005
Banner of Souls,Liz Williams,2005
Exultant,Stephen Baxter,2005
Stamping Butterflies,Jon Courtenay Grimwood,2005
Lost in Transmission,Wil McCarthy,2005
The Zenith Angle,Bruce Sterling,2005
The Fourth Circle,Zoran Zivkovic,2005
Frek and the Elixir,Rudy Rucker,2005
White Devils,Paul McAuley,2005
Spondulix,Paul Di Filippo,2005
Black Brillion,Matthew Hughes,2005
The Language of Power,Rosemary Kirstein,2005
Life,Gwyneth Jones,2005
City of Pearl,Karen Traviss,2005
Polaris,Jack McDevitt,2005
Iron Council,China Mi�ville,2005
The Wizard Knight,Gene Wolfe,2005
Going Postal,Terry Pratchett,2005
The Dark Tower: Song of Susannah,Stephen King,2005
The Family Trade,Charles Stross,2005
Alphabet of Thorn,Patricia A. McKillip,2005
The Last Light of the Sun,Guy Gavriel Kay,2005
Perfect Circle,Sean Stewart,2005
Mortal Love,Elizabeth Hand,2005
Jonathan Strange & Mr Norrell,Susanna Clarke,2005
In the Night Room,Peter Straub,2005
A Handbook of American Prayer,Lucius Shepard,2005
The Charnel Prince,Greg Keyes,2005
Dead Lines,Greg Bear,2005
Shadowmarch,Tad Williams,2005
Glass Dragons,Sean McMullen,2005
One King, One Soldier,2005
The Last Guardian of Everness,John C. Wright,2005
Dragon's Treasure,Elizabeth A. Lynn,2005
Murder of Angels,Caitl�n R. Kiernan,2005
The Witches' Kitchen,Cecelia Holland,2005
Accelerando,Charles Stross,2006
Olympos,Dan Simmons,2006
Spin,Robert Charles Wilson,2006
Fifty Degrees Below,Kim Stanley Robinson,2006
Learning the World,Ken MacLeod,2006
Shadow of the Giant,Orson Scott Card,2006
Old Twentieth,Joe Haldeman,2006
Never Let Me Go,Kazuo Ishiguro,2006
Seeker,Jack McDevitt,2006
Mammoth,John Varley,2006
Pushing Ice,Alastair Reynolds,2006
Transcendent,Stephen Baxter,2006
The Carpet Makers,Andreas Eschbach,2006
The World Before,Karen Traviss,2006
Lady of Mazes,Karl Schroeder,2006
9Tail Fox,Jon Courtenay Grimwood,2006
The Well of Stars,Robert Reed,2006
Living Next Door to the God of Love,Justina Robson,2006
The Rosetta Codex,Richard Paul Russo,2006
To Crush the Moon,Wil McCarthy,2006
Godplayers,Damien Broderick,2006
Mind's Eye,Paul McAuley,2006
Tumbling After,Paul Witcover,2006
Old Man's War,John Scalzi,2006
Anansi Boys,Neil Gaiman,2006
A Feast for Crows,George R. R. Martin,2006
Thud!,Terry Pratchett,2006
The Hallowed Hunt,Lois McMaster Bujold,2006
Someone Comes to Town, Someone Leaves Town,2006
The Hidden Family,Charles Stross,2006
A Princess of Roumania,Paul Park,2006
Lord Byron's Novel: The Evening Land,John Crowley,2006
Fledgling,Octavia E. Butler,2006
Shaman's Crossing,Robin Hobb,2006
Od Magic,Patricia A. McKillip,2006
Glass Soup,Jonathan Carroll,2006
The House of Storms,Ian R. MacLeod,2006
The Limits of Enchantment,Graham Joyce,2006
Snake Agent,Liz Williams,2006
The Narrows,Alexander C. Irvine,2006
Knife of Dreams,Robert Jordan,2006
Orphans of Chaos,John C. Wright,2006
Rainbows End,Vernor Vinge,2007
Glasshouse,Charles Stross,2007
Blindsight,Peter Watts,2007
Carnival,Elizabeth Bear,2007
Farthing,Jo Walton,2007
The Clan Corporate,Charles Stross,2007
The Road,Cormac McCarthy,2007
Against the Day,Thomas Pynchon,2007
Sun of Suns,karl Schroeder,2007
Mathematicians in Love,Rudy Rucker,2007
Eifelheim,Michael Flynn,2007
Nova Swing,M. John Harrison,2007
End of the World Blues,Jon Courtenay Grimwood,2007
Matriarch,Karen Traviss,2007
The Armies of Memory,John Barnes,2007
Polity Agent,Neal Asher,2007
Emperor,Stephen Baxter,2007
Keeping It Real,Justina Robson,2007
The Ghost Brigades,John Scalzi,2007
Horizons,Mary Rosenblum,2007
Babylon,Richard Calder,2007
The Android's Dream,John Scalzi,2007
The Privilege of the Sword,Ellen Kushner,2007
The Jennifer Morgue,Charles Stross,2007
Soldier of Sidon,Gene Wolfe,2007
Three Days to Never,Tim Powers,2007
The Last Witchfinder,James Morrow,2007
Shriek: An Afterword,Jeff VanderMeer,2007
Solstice Wood,Patricia A. McKillip,2007
Forest Mage,Robin Hobb,2007
The Vengeance of Rome,Michael Moorcock,2007
Lisey's Story,Stephen King,2007
The Thousandfold Thought,R. Scott Bakker,2007
The Tourmaline,Paul Park,2007
The Brief History of the Dead,Kevin Brockmeier,2007
The Blood Knight,Greg Keyes,2007
Trial of Flowers,Jay Lake,2007
The Demon and the City,Liz Williams,2007
The Virtu,Sarah Monette,2007
Fugitives of Chaos,John C. Wright,2007
Ilario: The Lion's Eye,Mary Gentle,2007
Majestrum,Matthew Hughes,2007
Temeraire: His Majesty's Dragon/Throne of Jade/Black Powder War,Naomi Novik,2007
The Lies of Locke Lamora,Scott Lynch,2007
The Yiddish Policemen's Union,Michael Chabon,2008
Spook Country,William Gibson,2008
Halting State,Charles Stross,2008
Brasyl,Ian McDonald,2008
The Accidental Time Machine,Joe Haldeman,2008
Axis,Robert Charles Wilson,2008
Black Man(US title:Thirteen),Richard Morgan,2008
The Execution Channel,Ken MacLeod,2008
Ha'penny,Jo Walton,2008
Sixty Days and Counting,Kim Stanley Robinson,2008
Undertow,Elizabeth Bear,2008
Mainspring,Jay Lake,2008
Queen of Candesce,Karl Schroeder,2008
The Sons of Heaven,Kage Baker,2008
The Prefect,Alastair Reynolds,2008
Bad Monkeys,Matt Ruff,2008
Shelter,Susan Palwick,2008
HARM,Brian W. Aldiss,2008
In War Times,Kathleen Ann Goonan,2008
Engineer Trilogy: Devices and Desires/Evil for Evil/The Escapement,K. J. Parker,2008
The Last Colony,John Scalzi,2008
Conqueror,Stephen Baxter,2008
Till Human Voices Wake Us,Mark Budz,2008
Making Money,Terry Pratchett,2008
Ysabel,Guy Gavriel Kay,2008
Pirate Freedom,Gene Wolfe,2008
Territory,Emma Bull,2008
Endless Things,John Crowley,2008
The White Tyger,Paul Park,2008
Softspoken,Lucius Shepard,2008
Ink,Hal Duncan,2008
 In the Cities of Coin and Spice,Catherynne M. Valente,2008
Whiskey and Water,Elizabeth Bear,2008
The New Moon's Arms,Nalo Hopkinson,2008
A Betrayal in Winter,Daniel Abraham,2008
The Secret History of Moscow,Ekaterina Sedia,2008
Titans of Chaos,John C. Wright,2008
Daughter of Hounds,Caitl�n R. Kiernan,2008
The Spiral Labyrinth,Matthew Hughes,2008
The Name of the Wind,Patrick Rothfuss,2008
Blood Engines,T. A. Pratt,2008
Bone Song,John Meaney,2008
Anathem,Neal Stephenson,2009
Matter,Iain M. Banks,2009
City at the End of Time,Greg Bear,2009
Saturn's Children,Charles Stross,2009
Marsbound,Joe Haldeman,2009
Half a Crown,Jo Walton,2009
Incandescence,Greg Egan,2009
Rolling Thunder,John Varley,2009
Implied Spaces,Walter Jon Williams,2009
House of Suns,Alastair Reynolds,2009
The Quiet War,Paul McAuley,2009
The January Dancer,Michael Flynn,2009
Escapement,Jay Lake,2009
Pirate Sun,Karl Schroeder,2009
Flood,Stephen Baxter,2009
Weaver,Stephen Baxter,2009
The Night Sessions,Ken MacLeod,2009
Song of Time,Ian R. MacLeod,2009
The Company,K. J. Parker,2009
Lavinia,Ursula K. Le Guin,2009
The Dragons of Babel,Michael Swanwick,2009
An Evil Guest,Gene Wolfe,2009
The Shadow Year,Jeffrey Ford,2009
The Bell at Sealey Head,Patricia A. McKillip,2009
An Autumn War,Daniel Abraham,2009
The Knights of the Cornerstone,James P. Blaylock,2009
The Hidden World,Paul Park,2009
Shadowbridge/Lord Tophet,Gregory Frost,2009
The Alchemy of Stone,Ekaterina Sedia,2009
The Ghost in Love,Jonathan Carroll,2009
The Enchantress of Florence,Salman Rushdie,2009
The Love We Share Without Knowing,Christopher Barzak,2009
Memoirs of a Master Forger,William Heaney,2009
The Engine's Child,Holly Phillips,2009
Varanger,Cecelia Holland,2009
Boneshaker,Cherie Priest,2010
The Empress of Mars,Kage Baker,2010
Galileo's Dream,Kim Stanley Robinson,2010
Julian Comstock: A Story of 22nd-Century America,Robert Charles Wilson,2010
Steal Across the Sky,Nancy Kress,2010
Transition,Iain M. Banks,2010
Under the Dome,Stephen King,2010
Gardens of the Sun,Paul McAuley,2010
This Is Not a Game,Walter Jon Williams,2010
Ark,Stephen Baxter,2010
The Devil's Alphabet,Daryl Gregory,2010
Chronic City,Jonathan Lethem,2010
The Sunless Countries,Karl Schroeder,2010
The Walls of the Universe,Paul Melko,2010
The Windup Girl,Paolo Bacigalupi,2010
Yellow Blue Tibia,Adam Roberts,2010
Buyout,Alexander C. Irvine,2010
The City & the City,China Mi�ville,2010
Unseen Academicals,Terry Pratchett,2010
Drood,Dan Simmons,2010
Palimpsest,Catherynne M. Valente,2010
Finch,Jeff VanderMeer,2010
Green,Jay Lake,2010
The Revolution Business,Charles Stross,2010
Canticle,Ken Scholes,2010
Avilion,Robert Holdstock,2010
Lifelode,Jo Walton,2010
The Price of Spring,Daniel Abraham,2010
The Red Tree,Caitl�n R. Kiernan,2010
Cloud & Ashes: Three Winter's Tales,Greer Gilman,2010
Madness of Flowers,Jay Lake,2010
The High City,Cecelia Holland,2010
Audrey's Door,Sarah Langan,2010
Spell Games,T. A. Pratt,2010
Dragon in Chains,Daniel Fox,2010
Gears of the City,Felix Gilman,2010
Last Days,Brian Evenson,2010
In Great Waters,Kit Whitfield,2010
The Painting and the City,Robert Wexler,2010
Blackout/All Clear,Connie Willis,2011
Cryoburn,Lois McMaster Bujold,2011
The Dervish House,Ian McDonald,2011
Surface Detail,Iain M. Banks,2011
Zero History,William Gibson,2011
The Passage,Justin Cronin,2011
Feed,Mira Grant,2011
Hull Zero Three,Greg Bear,2011
Terminal World,Alastair Reynolds,2011
Chill,Elizabeth Bear,2011
Starbound,Joe Haldeman,2011
Yarn,Jon Armstrong,2011
Zendegi,Greg Egan,2011
Directive 51,John Barnes,2011
Sleepless,Charlie Huston,2011
Brain Thief,Alexander Jablokov,2011
Birdbrain,Johanna Sinisalo,2011
Saltation,Sharon Lee&Steve Miller,2011
Kraken,China Mi�ville,2011
Under Heaven,Guy Gavriel Kay,2011
The Fuller Memorandum,Charles Stross,2011
The Sorcerer's House,Gene Wolfe,2011
Who Fears Death,Nnedi Okorafor,2011
The Bards of Bone Plain,Patricia A. McKillip,2011
The Habitation of the Blessed,Catherynne M. Valente,2011
Horns,Joe Hill,2011
The Bird of the River,Kage Baker,2011
A Dark Matter,Peter Straub,2011
Zoo City,Lauren Beukes,2011
Changeless,Gail Carriger,2011
Shades of Grey,Jasper Fforde,2011
The Half-Made World,Felix Gilman,2011
The Thousand Autumns of Jacob de Zoet,David Mitchell,2011
The Desert Spear,Peter V. Brett,2011
Hespira,Matthew Hughes,2011
The House of Discarded Dreams,Ekaterina Sedia,2011
The Wolf Age,James Enge,2011
The Folding Knife,K. J. Parker,2011
Jade Man's Skin,Daniel Fox,2011
Kings of the North,Cecelia Holland,2011
The Way of Kings,Brandon Sanderson,2011
A Matter of Blood,Sarah Pinborough,2011
Embassytown,China Mi�ville,2012
11/22/63,Stephen King,2012
Rule 34,Charles Stross,2012
The Children of the Sky,Vernor Vinge,2012
Leviathan Wakes,James S. A. Corey,2012
Dancing with Bears,Michael Swanwick,2012
Grail,Elizabeth Bear,2012
Deadline,Mira Grant,2012
Home Fires,Gene Wolfe,2012
Vortex,Robert Charles Wilson,2012
Earthbound,Joe Haldeman,2012
Firebird,Jack McDevitt,2012
The Clockwork Rocket,Greg Egan,2012
The Islanders,Christopher Priest,2012
Heart of Iron,Ekaterina Sedia,2012
Daybreak Zero,John Barnes,2012
This Shared Dream,Kathleen Ann Goonan,2012
7th Sigma,Steven Gould,2012
All the Lives He Led,Frederik Pohl,2012
Wake Up and Dream,Ian R. MacLeod,2012
The Courier's New Bicycle,Kim Westwood,2012
Zone One,Colson Whitehead,2012
A Dance with Dragons,George R. R. Martin,2012
Among Others,Jo Walton,2012
Snuff,Terry Pratchett,2012
The Wise Man's Fear,Patrick Rothfuss,2012
Deathless,Catherynne M. Valente,2012
The Kingdom of Gods,N. K. Jemisin,2012
The Magician King,Lev Grossman,2012
The Heroes,Joe Abercrombie,2012
The Folded World,Catherynne M. Valente,2012
The Cold Commands,Richard K. Morgan,2012
Raising Stony Mayhall,Daryl Gregory,2012
The Uncertain Places,Lisa Goldstein,2012
Redwood and Wildfire,Andrea Hairston,2012
Heartless,Gail Carriger,2012
Professor Moriarty: The Hound of the D'Urbervilles,Kim Newman,2012
The Dragon's Path,Daniel Abraham,2012
The Alchemists of Kush,Minister Faust,2012
Briarpatch,Tim Pratt,2012
Mr. Fox,Helen Oyeyemi,2012
The Fallen Blade,Jon Courtenay Grimwood,2012
The Hammer,K. J. Parker,2012
Mistification,Kaaron Warren,2012
Redshirts,John Scalzi,2013
2312,Kim Stanley Robinson,2013
The Hydrogen Sonata,Iain M. Banks,2013
Captain Vorpatril's Alliance,Lois McMaster Bujold,2013
Caliban's War,James S. A. Corey,2013
Blue Remembered Earth,Alastair Reynolds,2013
The Fractal Prince,Hannu Rajaniemi,2013
The Rapture of the Nerds,Cory Doctorow&Charles Stross,2013
Slow Apocalypse,John Varley,2013
Intruder,C. J. Cherryh,2013
Empty Space,M. John Harrison,2013
Arctic Rising,Tobias S. Buckell,2013
Bowl of Heaven,Gregory Benford&Larry Niven,2013
Intrusion,Ken MacLeod,2013
Angelmaker,Nick Harkaway,2013
Any Day Now,Terry Bisson,2013
Jack Glass,Adam Roberts,2013
Rapture,Kameron Hurley,2013
The Last Policeman,Ben H. Winters,2013
The Eternal Flame,Greg Egan,2013
The Fourth Wall,Walter Jon Williams,2013
Fate of Worlds,Larry Niven&Edward M. Lerner,2013
Ashes of Candesce,Karl Schroeder,2013
Existence,David Brin,2013
Lost Everything,Brian Francis Slattery,2013
In the Mouth of the Whale,Paul McAuley,2013
Turing & Burroughs,Rudy Rucker,2013
The Apocalypse Codex,Charles Stross,2013
The Drowning Girl,Caitl�n R. Kiernan,2013
Hide Me Among the Graves,Tim Powers,2013
The Killing Moon,N. K. Jemisin,2013
Glamour in Glass,Mary Robinette Kowal,2013
Red Country,Joe Abercrombie,2013
Some Kind of Fairy Tale,Graham Joyce,2013
The King's Blood,Daniel Abraham,2013
Whispers Under Ground,Ben Aaronovitch,2013
Worldsoul,Liz Williams,2013
The Mirage,Matt Ruff,2013
Sharps,K. J. Parker,2013
And Blue Skies from Pain,Stina Leicht,2013
Bullettime,Nick Mamatas,2013
The Steel Seraglio,Mike Carey,2013
The Troupe,Robert Jackson Bennett,2013
Boneland,Alan Garner,2013
Range of Ghosts,Elizabeth Bear,2013
Crandolin,Anna Tambour,2013
Abaddon's Gate,James S. A. Corey,2014
Shaman,Kim Stanley Robinson,2014
Neptune's Brood,Charles Stross,2014
MaddAddam,Margaret Atwood,2014
The Best of All Possible Worlds,Karen Lord,2014
Protector,C. J. Cherryh,2014
On the Steel Breeze,Alastair Reynolds,2014
The Adjacent,Christopher Priest,2014
Burning Paradise,Robert Charles Wilson,2014
The Red: First Light,Linda Nagata,2014
Proxima,Stephen Baxter,2014
Lexicon,Max Barry,2014
Finches of Mars,Brian Aldiss,2014
The Arrows of Time,Greg Egan,2014
ID: The Second Machine Dynasty,Madeline Ashby,2014
Evening's Empires,Paul McAuley,2014
Ancillary Justice,Ann Leckie,2014
The Cusanus Game,Wolfgang Jeschke,2014
Countdown City,Ben H. Winters,2014
The Last President,John Barnes,2014
Jupiter War,Neal Asher,2014
Trade Secret,Sharon Lee&Steve Miller,2014
Necessity's Child,Sharon Lee&Steve Miller,2014
The Ocean at the End of the Lane,Neil Gaiman,2014
NOS4A2,Joe Hill,2014
The Republic of Thieves,Scott Lynch,2014
River of Stars,Guy Gavriel Kay,2014
Doctor Sleep,Stephen King,2014
The Shining Girls,Lauren Beukes,2014
Raising Steam,Terry Pratchett,2014
Sister Mine,Nalo Hopkinson,2014
The Land Across,Gene Wolfe,2014
London Falling,Paul Cornell,2014
Joyland,Stephen King,2014
Life After Life,Kate Atkinson,2014
Blood Oranges,Kathleen Tierney,2014
The Tyrant's Law,Daniel Abraham,2014
Cold Steel,Kate Elliott,2014
Necessary Evil,Ian Tregillis,2014
The Aylesford Skull,James P. Blaylock,2014
The Violent Century,Lavie Tidhar,2014
Anno Dracula 1976-1991: Johnny Alucard,Kim Newman,2014
American Elsewhere,Robert Jackson Bennett,2014
The Year of the Ladybird,Graham Joyce,2014
The Scrivener's Tale,Fiona McIntosh,2014
Between Two Thorns,Emma Newman,2014
The Village Sang to the Sea: A Memoir of Magic,Bruce McAllister,2014
Dead Set,Richard Kadrey,2014
Ancillary Sword,Ann Leckie,2015
The Three-Body Problem,Cixin Liu,2015
Annihilation/Authority/Acceptance,Jeff VanderMeer,2015
The Peripheral,William Gibson,2015
Lock In,John Scalzi,2015
My Real Children,Jo Walton,2015
Lagoon,Nnedi Okorafor,2015
Cibola Burn,James S. A. Corey,2015
The Bone Clocks,David Mitchell,2015
Afterparty,Daryl Gregory,2015
The Causal Angel,Hannu Rajaniemi,2015
Echopraxia,Peter Watts,2015
War Dogs,Greg Bear,2015
Shipstar,Gregory Benford&Larry Niven,2015
Work Done for Hire,Joe Haldeman,2015
Ultima,Stephen Baxter,2015
Dark Lightning,John Varley,2015
Tigerman,Nick Harkaway,2015
The Memory of Sky,Robert Reed,2015
Wolves,Simon Ings,2015
Artemis Awakening,Jane Lindskold,2015
The Book of Strange New Things,Michel Faber,2015
World of Trouble,Ben H. Winters,2015
B�te,Adam Roberts,2015
The Blood of Angels,Johanna Sinisalo,2015
Europe in Autumn,Dave Hutchinson,2015
Station Eleven,Emily St. John Mandel,2015
All Those Vanished Engines,Paul Park,2015
The Goblin Emperor,Katherine Addison,2015
City of Stairs,Robert Jackson Bennett,2015
The Mirror Empire,Kameron Hurley,2015
Steles of the Sky,Elizabeth Bear,2015
The Magician's Land,Lev Grossman,2015
Full Fathom Five,Max Gladstone,2015
The Girls at the Kingfisher Club,Genevieve Valentine,2015
Revival,Stephen King,2015
Beautiful Blood,Lucius Shepard,2015
California Bones,Greg van Eekhout,2015
The Widow's House,Daniel Abraham,2015
A Man Lies Dreaming,Lavie Tidhar,2015
Hawk,Steven Brust,2015
The Dark Defiles,Richard K. Morgan,2015
Bathing the Lion,Jonathan Carroll,2015
The Bees,Laline Paull,2015
Heirs of Grace,Tim Pratt,2015
The Winter Boy,Sally Wiener Grotta,2015
The Boy Who Drew Monsters,Keith Donohue,2015
Resurrections,Roz Kaveney,2015
Words of Radiance,Brandon Sanderson,2015
Ancillary Mercy,Ann Leckie,2016
Seveneves,Neal Stephenson,2016
The Water Knife,Paolo Bacigalupi,2016
Aurora,Kim Stanley Robinson,2016
A Borrowed Man,Gene Wolfe,2016
Uprooted,Naomi Novik,2016
The Fifth Season,N. K. Jemisin,2016
Karen Memory,Elizabeth Bear,2016
The House of Shattered Wings,Aliette de Bodard,2016
Wylding Hall,Elizabeth Hand,2016
Death's End,Cixin Liu,2017
The Underground Railroad,Colson Whitehead,2017
Babylon's Ashes,James S. A. Corey,2017
Central Station,Lavie Tidhar,2017
Company Town,Madeline Ashby,2017
Visitor,C. J. Cherryh,2017
The Medusa Chronicles,Stephen Baxter&Alastair Reynolds,2017
After Atlas,Emma Newman,2017
Last Year,Robert Charles Wilson,2017
Take Back the Sky,Greg Bear,2017
All the Birds in the Sky,Charlie Jane Anders,2017
The Obelisk Gate,N. K. Jemisin,2017
The Wall of Storms,Ken Liu,2017
The Nightmare Stacks,Charles Stross,2017
Children of Earth and Sky,Guy Gavriel Kay,2017
City of Blades,Robert Jackson Bennett,2017
The Winged Histories,Sofia Samatar,2017
The Last Days of New Paris,China Mi�ville,2017
Necessity,Jo Walton,2017
Summerlong,Peter S. Beagle,2017
The Collapsing Empire,John Scalzi,2018
Provenance,Ann Leckie,2018
New York 2140,Kim Stanley Robinson,2018
Raven Strategem,Yoon Ha Lee,2018
The Stars Are Legion,Kameron Hurley,2018
Borne,Jeff VanderMeer,2018
Persepolis Rising,James S. A. Corey,2018
Walkaway,Cory Doctorow,2018
Seven Surrenders,Ada Palmer,2018
Luna: Wolf Moon,Ian McDonald,2018
The Stone Sky,N. K. Jemisin,2018
The Stone in the Skull,Elizabeth Bear,2018
Spoonbenders,Daryl Gregory,2018
The House of Binding Thorns,Aliette de Bodard,2018
The Delirium Brief,Charles Stross,2018
Jade City,Fonda Lee,2018
Ka: Dar Oakley in the Ruin of Ymr,John Crowley,2018
The Ruin of Angels,Max Gladstone,2018
City of Miracles,Robert Jackson Bennett,2018
Horizon,Fran Wilde,2018
The Calculating Stars,Mary Robinette Kowal,2019
Space Opera,Catherynne M. Valente,2019
Revenant Gun,Yoon Ha Lee,2019
Record of a Spaceborn Few,Becky Chambers,2019
Blackfish City,Sam J. Miller,2019
Red Moon,Kim Stanley Robinson,2019
If Tomorrow Comes,Nancy Kress,2019
Embers of War,Gareth L. Powell,2019
Unholy Land,Lavie Tidhar,2019
Elysium Fire,Alastair Reynolds,2019
Spinning Silver,Naomi Novik,2019
The Mere Wife,Maria Dahvana Headley,2019
European Travel for the Monstrous Gentlewoman,Theodora Goss,2019
Foundryside,Robert Jackson Bennett,2019
Lies Sleeping,Ben Aaronovitch,2019
The Monster Baru Cormorant,Seth Dickinson,2019
The Wonder Engine,T. Kingfisher,2019
Deep Roots,Ruthanna Emrys,2019
Ahab's Return,Jeffrey Ford,2019
Creatures of Want and Ruin,Molly Tanzer,2019
The City in the Middle of the Night,Charlie Jane Anders,2020
Ancestral Night,Elizabeth Bear,2020
Wanderers,Chuck Wendig,2020
The Light Brigade,Kameron Hurley,2020
The Future of Another Timeline,Annalee Newitz,2020
Empress of Forever,Max Gladstone,2020
The Rosewater Insurrection/The Rosewater Redemption,Tade Thompson,2020
The Testaments,Margaret Atwood,2020
Luna: Moon Rising,Ian McDonald,2020
Fleet of Knives,Gareth L. Powell,2020
Middlegame,Seanan McGuire,2020
The Raven Tower,Ann Leckie,2020
Gods of Jade and Shadow,Silvia Moreno-Garcia,2020
Storm of Locusts,Rebecca Roanhorse,2020
Jade War,Fonda Lee,2020
The Iron Dragon's Mother,Michael Swanwick,2020
Ninth House,Leigh Bardugo,2020
Dead Astronauts,Jeff VanderMeer,2020
A Brightness Long Ago,Guy Gavriel Kay,2020
The Starless Sea,Erin Morgenstern,2020
Network Effect,Martha Wells,2021
The Relentless Moon,Mary Robinette Kowal,2021
The Last Emperox,John Scalzi,2021
The Ministry for the Future,Kim Stanley Robinson,2021
Agency,William Gibson,2021
Unconquerable Sun,Kate Elliott,2021
Machine,Elizabeth Bear,2021
Attack Surface,Cory Doctorow,2021
Interlibrary Loan,Gene Wolfe,2021
War of the Maps,Paul McAuley,2021
The City We Became,N. K. Jemisin,2021
Piranesi,Susanna Clarke,2021
Harrow the Ninth,Tamsyn Muir,2021
Black Sun,Rebecca Roanhorse,2021
The Once and Future Witches,Alix E. Harrow,2021
The Invisible Life of Addie LaRue,V. E. Schwab,2021
The Left-Handed Booksellers of London,Garth Nix,2021
The Trouble with Peace,Joe Abercrombie,2021
The Midnight Bargain,C. L. Polk,2021
The Angel of the Crows,Katherine Addison,2021
A Desolation Called Peace,Arkady Martine,2022
The Galaxy, and the Ground Within,2022
Leviathan Falls,James S. A. Corey,2022
The Echo Wife,Sarah Gailey,2022
Noor,Nnedi Okorafor,2022
Klara and the Sun,Kazuo Ishiguro,2022
We Are Satellites,Sarah Pinsker,2022
Hummingbird Salamander,Jeff VanderMeer,2022
Shards of Earth,Adrian Tchaikovsky,2022
You Sexy Thing,Cat Rambo,2022
Jade Legacy,Fonda Lee,2022
Black Water Sister,Zen Cho,2022
The Last Graduate,Naomi Novik,2022
The Witness for the Dead,Katherine Addison,2022
Paladin's Strength,T. Kingfisher,2022
Light from Uncommon Stars,Ryka Aoki,2022
The Jasmine Throne,Tasha Suri,2022
Soulstar,C. L. Polk,2022
No Gods, No Monsters,2022
Under the Whispering Door,TJ Klune,2022
The Kaiju Preservation Society,John Scalzi,2023
Sea of Tranquility,Emily St. John Mandel,2023
